room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name
shared room,lisbon,santo antónio,19.0,4.5,4,1.0,30.0,low cost hostel marques gardens 4 bed dorm
shared room,lisbon,avenidas novas,4.0,3.5,6,1.0,39.0,room in lisbon center
shared room,lisbon,santa maria maior,38.0,4.5,8,1.0,39.0,bed in a 8-bed dorm @ this is lisbon hostel
shared room,lisbon,avenidas novas,9.0,4.0,6,1.0,37.0,shared mixed bunkbed room 1
shared room,lisbon,arroios,1.0,0.0,2,1.0,96.0,nice room anjos
shared room,lisbon,campo de ourique,3.0,4.5,4,1.0,90.0,shared room at city center
shared room,lisbon,lumiar,3.0,5.0,7,1.0,96.0,luxury and quite apartment
shared room,lisbon,parque das nações,14.0,4.5,3,1.0,84.0,camper van
shared room,lisbon,avenidas novas,1.0,0.0,3,1.0,66.0,mixed tripple room
shared room,lisbon,areeiro,9.0,5.0,4,1.0,58.0,shared room / whole room / 4 beds
shared room,lisbon,parque das nações,1.0,0.0,4,1.0,48.0,sailing boat for backpacker
shared room,lisbon,areeiro,3.0,4.5,1,1.0,24.0,great room in cozy shared apartment
shared room,lisbon,areeiro,1.0,0.0,4,1.0,23.0,shared room / € per person /4 beds
shared room,lisbon,olivais,15.0,4.0,1,1.0,15.0,#1 comfortable bed with amazing breakfast!
shared room,lisbon,campolide,11.0,4.5,3,1.0,12.0,shared dorm /shared  appartment
shared room,lisbon,misericórdia,3.0,5.0,8,1.0,27.0,8 bed dorm in lisbon's most social hostel
shared room,lisbon,avenidas novas,1.0,0.0,6,1.0,18.0,swallow hostel 15 sinta-se em casa!
shared room,lisbon,santa maria maior,2.0,0.0,1,1.0,12.0,lisbon cozy flat - bunk beds 5
shared room,lisbon,alvalade,5.0,4.5,2,1.0,38.0,miniroom1 (in dorm) nesha guesthouse lisbon
shared room,lisbon,misericórdia,8.0,5.0,10,1.0,39.0,sunset destination hostel - dormitories
shared room,lisbon,misericórdia,3.0,5.0,10,1.0,24.0,10 bed dorm in lisbon's most social hostel
shared room,lisbon,estrela,5.0,4.5,1,1.0,18.0,beautiful lisbon couch
shared room,lisbon,são vicente,7.0,4.0,4,1.0,32.0,alfama patio hostel - 4 bed dorm
shared room,lisbon,misericórdia,20.0,5.0,9,1.0,29.0,bunk with a view at lookout lisbon! hostel
shared room,lisbon,campolide,29.0,4.5,1,1.0,12.0,shared dorm in shared appartment
shared room,lisbon,campolide,32.0,4.5,2,1.0,10.0,shared dorm / shared appartment -1
shared room,lisbon,avenidas novas,5.0,3.5,14,1.0,24.0,hostel elias garcia residence
shared room,lisbon,estrela,1.0,0.0,6,1.0,15.0,kab+1 hostel - madrid room
shared room,lisbon,são vicente,4.0,5.0,6,1.0,32.0,alfama patio hostel 6 mixed ensuite
shared room,lisbon,santa maria maior,7.0,4.5,10,1.0,29.0,lisbon destination hostel - dorm beds
shared room,lisbon,misericórdia,15.0,5.0,8,1.0,27.0,bed in elegant 8 bedded dormitory
shared room,lisbon,santo antónio,4.0,4.5,4,1.0,30.0,brother`s hostel
shared room,lisbon,santa maria maior,1.0,0.0,1,1.0,15.0,lisbon cozy flat - bunk beds 2
shared room,lisbon,estrela,1.0,0.0,6,1.0,15.0,kab+1 hostel - paris room
shared room,lisbon,santo antónio,5.0,4.0,8,1.0,20.0,the elevator hostel
shared room,lisbon,misericórdia,5.0,4.5,10,1.0,27.0,14 bed dorm in lisbon's most social hostel
shared room,lisbon,olivais,8.0,5.0,2,1.0,29.0,daybed close to airport and parque das nações
shared room,lisbon,santa maria maior,3.0,3.0,2,1.0,30.0,twin room (dormitory style)
shared room,lisbon,arroios,2.0,0.0,4,1.0,18.0,bed in cozy shared dormitory room
shared room,lisbon,ajuda,7.0,5.0,2,1.0,18.0,sofa bed for two in sunny elegant living room.
shared room,lisbon,misericórdia,38.0,5.0,12,1.0,27.0,the backpacker's spacious 12 bed
shared room,lisbon,santa maria maior,4.0,4.5,1,1.0,15.0,lisbon cozy flat - bunk beds 7
shared room,lisbon,avenidas novas,7.0,4.0,8,1.0,18.0,swallow hostel 7 sinta-se em casa!
shared room,lisbon,santa maria maior,6.0,4.0,1,1.0,15.0,lisbon cozy flat - bunk beds 6
shared room,lisbon,santo antónio,5.0,5.0,8,1.0,15.0,low cost hostel marques gardens 8 bed dorm
shared room,lisbon,areeiro,1.0,0.0,1,1.0,15.0,nice room near downtown lisbon 1
shared room,lisbon,santa maria maior,1.0,0.0,1,1.0,24.0,lisboa tu & eu - ii
shared room,lisbon,areeiro,3.0,5.0,4,1.0,14.0,nice room near downtown lisbon
shared room,lisbon,areeiro,1.0,0.0,1,1.0,14.0,nice room near downtown lisbon 2
shared room,lisbon,areeiro,10.0,5.0,1,1.0,14.0,nice room near downtown lisbon 4
shared room,lisbon,avenidas novas,4.0,5.0,9,1.0,27.0,nesthouse lisbon hostel female dorm
shared room,lisbon,arroios,43.0,4.5,1,1.0,24.0,be lisbon hostel
shared room,lisbon,santa maria maior,4.0,3.0,1,1.0,16.0,lisbon cozy flat - bunk beds 4
